Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,18 Jan 2026,5,Aadarsh,Size bought 42 very soft very comfortable blazer material quality very good love it so soft stuff and very good colour combination looks very great overall quality very good love it button  quality very smooth thank you myntra ❤️
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,2 Apr 2026,5,Manaswi Diwan,"Blazer looks very sharp and well-fitted. The structure is good and gives a clean formal look instantly.

Fabric quality feels premium and sits well without looking bulky. Perfect for meetings or formal occasions.

Wore it for a few hours and it stayed comfortable throughout. Definitely a good investment piece."
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,16 Oct 2024,5,Atharv Gaikwad,"Excellent finish, fabulous stitching and the fabric is soo smooth .. in totally impressed 
Only one thing which I didn't like are the button they are translucent white which don't match with the vibe 
But overall wonderful product 😊"
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,26 Feb 2026,5,Mridu Pavan Sarmah,Very good product. Exactly as presented in the images. Very good smooth material. Comfortable and stylish. The seller also provided a very good quality bag as well as a hanger along with the blazer which is very rare in online shopping. You won't regret this purchase as I have not. Definitely a go to product.
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,19 Oct 2025,5,Akshay Kushwaha,"The fit is excellent and gives a sharp, classy look. The fabric feels premium and comfortable for long hours. Perfect for both formal meetings and evening events. Totally worth the price — highly recommended for anyone looking for a smart blazer!"
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,28 Feb 2026,5,Dilkush Meena,Good fitting perfect clothes
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,3 Mar 2025,5,Aman Dhiman,"Fit is right good amazing fabric with high quality fit check!!
Worth it "
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,14 Nov 2025,5,Piyush,Best blazer in this prize range go for it without thinking 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,31 Jan 2026,4,Mani,"The product quality iş really good the material feels comfortable on the skin size is perfect as per the size chart,colour and design are exactly as shown delivery was on time overall very satisfied and would recommend it."
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,29 Jan 2025,4,Rohit Singh,"I would say fitting is not as good as expected, I have a blazer of same brand and size but  fitting in not.
It feels little over size compare to what I have,  rest is fine like fabric and look."
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,1 Dec 2025,5,Raymond Francis,The fabric is exactly seen in the picture. The fitting is good. I bought 44 size. I checked their size chart and measured myself and then ordered the blazer. I usually wear 42 size but this was fitting perfectly.
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,1 June 2025,4,Mk,"My brother wore this for his graduation everyone complimented him!! Very nice 
#trending #viral
"
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,9 May 2025,5,Dragon Nath,V good
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,31 May 2025,3,Sriram Ramalingam,The material is kind of banian material and it is very had to find a matching bottom for.this..I would suggest you all of to go and buy it as set instead of buying it separately.
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,16 July 2024,5,Rohit Kumar,Amazing fit nice cloth 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,21 Apr 2025,4,Atul Tripathi,Fibrics is awesome. Just as thick as needed.
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,13 Dec 2025,5,Rishabh Deo,"High Quality , Strechable &  perfect fit. Feels premium in budget. "
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,13 Dec 2025,4,Gopal Rawat,Liked the fabric and look. Fits well at shoulder but sleeve length and chest requires fit for a 178cm slim built guy.
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,25 Nov 2025,5,Riya Singh,"Same as shown
अच्छा लगा 
 "
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,8 May 2025,5,Abhishek Upadhyay,"Perfect fit, looks elite and stylish. "
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,14 June 2025,5,Amarjeet Kumar,"Just love it. Size fitting is perfect.
Fabric is so soft and solid looks fabulous."
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,30 Nov 2025,5,Sanjay Hati,Quality wise very nice 5 out of 5
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,13 Mar 2026,5,Mridu Pavan Sarmah,"Very good fitting. Quality, material and colour also as mentioned. Comfortable to wear."
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,5 May 2025,5,Pratish Dey,Great fit !! Elegant to carry…must buy 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,19 Mar 2025,4,Karishma,It fits perfectly. The only thing is I find the fabric is cheap 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,8 July 2025,5,Mahmudul Hasan,Best fit with light weight material. Perfect for formal events and an elegant look. 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,26 Oct 2024,5,Myntra Customer,I like this product. It has very nice and soft fabric with light shine. 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,25 Mar 2026,5,Myntra Customer,The Fit is awesome. The Colour is rich and looks classy with a black Tshirt
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,27 July 2025,5,Prabhjit Sondh,Very comfortable and stretchable color is little light not deep blue but dark sky blue we can say.
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,11 Dec 2025,5,Ashish Gupta,"Nice Product !!

Bought for corporate event purpose solved !!"
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,24 Feb 2024,4,Nagarjuna,"Fabric and stitching are good except the little lengthy hands
"
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,13 Oct 2024,5,Navneet Kumar,"blazer I recently purchased is truly good. The fit is perfect, and the fabric is of high quality."
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,11 Mar 2026,4,Dikshant Sharma,Smooth cloth and but can't say value for money!!
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,8 Feb 2026,4,Gaurav Bhatia,Fabric is good but country of origin is bangladesh
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,26 Sept 2024,5,Nishant Singh, 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,1 Mar 2026,5,Shiwani Manral,The fabric quality is as expected.. nice elegant look❤️
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,18 Oct 2025,4,Poonam,Fabric is very good. Looks royal. Nice blazer
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,24 Oct 2025,3,Piyush,Quality is good but size was a bit big returning it but but a good purchase if it fits you
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,10 Oct 2024,5,Sharan Puthran,Good fitting and fabric is really good. Recommended
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,27 July 2025,5,Prabhjit Sondh,Very comfortable and stretchable excellent quality and it’s deep black 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,21 Aug 2024,4,Saurabh Kohli,Good. As expected from a reputed brand
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,21 Sept 2025,5,Myntra Customer,Its expensive 😩 but classy and perfect for formal occasion 
Buy Arrow Notched Lapel Long Sleeves Slim Fit Single Breasted Blazer  - Blazers for Men 26893598 | Myntra,4.2,₹5199,15 Nov 2024,5,Sk,"Had a good experience with arrow products and blazer 
"
